CGPA,IQ,Placement
6.28,107,0
5.37,97,0
5.83,109,0
5.75,122,0
7.69,96,0
5.32,96,0
6.58,123,1
8.76,111,1
6.33,92,0
8.6,108,0
8.9,93,0
6.51,93,0
9.01,103,0
8.4,71,0
7.31,74,0
5.8,91,0
7.54,84,0
10.01,104,0
8.15,86,1
5.56,78,0
8.07,121,1
7.11,96,0
8.22,101,0
9.17,78,1
7.86,91,0
9.45,101,0
8.86,82,0
8.48,105,0
5.33,90,0
9.61,95,0
9.58,90,0
6.1,127,0
7.02,99,0
6.51,84,0
9.01,112,1
9.11,81,0
5.97,103,0
9.27,70,0
5.96,80,0
8.86,102,0
6.98,111,0
6.39,102,0
5.51,98,0
5.89,95,0
8.72,77,0
8.16,89,0
5.16,93,0
5.14,115,0
5.11,105,0
8.48,73,0
8.15,104,1
5.18,94,0
7.89,89,0
5.5,109,0
9.56,115,1
9.38,113,1
8.7,87,0
9.96,95,0
8.91,104,1
8.73,114,1
7.65,92,0
6.17,97,0
6.06,83,0
6.3,82,0
8.1,112,1
5.58,120,0
6.53,98,0
6.87,115,0
6.22,105,0
7.61,90,0
9.12,105,0
9.11,123,1
8.5,99,1
7.51,123,0
7.6,60,0
6.04,112,1
9.44,101,1
6.16,95,0
5.85,101,0
8.5,70,0
5.78,96,0
6.69,105,0
5.41,122,0
6.11,92,0
6.22,87,0
5.57,92,0
8.77,113,0
9.39,104,1
7.12,92,0
9.85,107,0
5.58,101,0
6.76,114,0
5.99,89,0
8.52,95,0
7.48,94,0
8.41,78,1
9.26,104,1
7.77,103,0
7.65,100,0
9.19,96,0
6.54,78,0
6.74,93,0
8.54,94,0
7.96,87,0
6.31,97,0
6.74,106,0
7.7,128,0
7.5,102,0
5.89,103,0
9.57,98,1
9.07,71,0
7.62,99,0
8.23,100,1
9.09,136,1
5.44,97,0
5.88,104,0
7.5,99,0
8.76,82,0
5.32,117,0
10.37,111,0
7.46,111,0
7.23,86,0
6.74,121,0
6.1,78,0
8.87,108,0
9.6,132,1
7.42,85,0
10.17,91,0
9.07,101,1
6.92,92,0
8.66,76,0
6.96,101,0
7.3,84,0
