cgpa,iq,placement
6.32,107.5,0
6.69,97.9,0
6.4,109.7,0
7.11,122.8,1
8.2,96.5,0
6.23,96.5,1
8,123.7,1
6.22,111.5,1
6.15,93,0
7.82,108.1,1
7.92,93,1
7.85,93,1
5.68,103.6,0
6.53,71.3,0
7.82,74.1,1
7.04,91.6,1
5.93,84.8,0
7.46,104.7,0
6.29,86.4,0
8.79,78.8,1
8.54,122,1
7.6,96.6,0
8.36,101,1
7.06,78.6,0
7.77,91.8,1
8.48,101.7,1
7.25,82.7,1
6.74,105.6,0
5.3,91,0
6.92,95.6,0
7.82,91,1
7.95,127.8,1
7.5,99.8,0
6.46,84.1,1
5.02,112.3,0
6.5,81.7,0
6.7,103.1,1
6.69,70.6,0
7.62,80.1,0
8.99,103,0
7.12,111.1,0
6.78,102.6,1
6.74,98.3,0
7.12,95.5,0
6.17,77.8,0
7.12,89.2,1
7.45,93.1,0
7.21,115.9,1
7.46,105.2,1
7.43,73.6,1
5.23,104.9,0
7.64,94.2,1
6.33,89.8,0
5.9,109.2,0
5.9,115.5,1
7.43,114,1
6.78,87.4,1
5.32,95.4,1
7.48,105,1
5.56,114.6,0
7.14,92.8,1
7.24,97.2,0
7.89,83.4,0
8.78,82.1,1
5.64,112.2,0
6.95,120.3,1
6.72,98.9,1
7.43,115.1,1
7.22,105.4,1
6.65,90.3,0
6.56,105.4,1
5.88,123.1,1
7.99,99.5,1
7.46,123.5,1
7.92,60.7,0
6.69,112.3,1
6.34,101.3,0
5.92,95.5,0
7.36,101.4,0
5.96,70.2,0
8.85,96.7,1
5.69,105.4,0
7.27,122.2,0
8.57,92.2,1
7.6,87.9,1
7.18,92.5,0
6.03,113.7,0
5.62,104.9,1
7.77,92.1,1
8.51,107.7,0
6.56,101.5,0
5.86,114.5,0
4.54,89.5,0
6.02,95.1,1
6.89,94.1,1
8.6,78,1
7.67,104.4,1
7.31,103.9,1
6.6,100.1,0
6.42,96.5,1
8.41,78.8,1
7.2,93.7,1
4.9,94.9,1
6.33,88,1
6.14,97.6,0
6.45,106.1,1
7.56,128.3,1
6.89,102.6,1
6.92,103.9,1
8.31,98.9,1
6.3,71.2,0
8.86,99.6,1
6.33,100.9,0
7.09,136.9,1
6.72,97.1,1
7.12,104.5,0
7.44,99.5,1
7.43,82.5,0
6.25,117.1,1
5.88,111.3,1
9.5,111.9,1
6.52,86.4,0
7.7,121,1
5.39,79,0
6.72,108.8,0
6.87,132.9,1
7.47,85.1,1
4.28,91.5,1
7.17,101.5,1
5.85,92.4,0
7.32,76.7,1
5.96,101,1
6.14,84.1,0
6.73,107.1,1
5.95,86.2,0
6.52,123.2,1
5.81,88.3,0
5.17,95.2,0
8.02,112.2,0
5.7,81.5,0
6.82,103.4,1
7.75,119.6,1
6.39,75.9,0
6.17,102.8,1
7.23,103.9,1
8.12,111.7,1
5.83,81.4,1
6.85,80.2,0
5.27,107.8,0
6.61,104.5,0
7.03,103.8,1
6.15,105.2,0
6.54,89.8,0
5.59,103.5,1
7.08,104.4,1
8.06,89.3,1
5.9,128,0
6.38,107.1,0
7.5,82.1,1
8.21,109.8,1
5.51,85.4,0
6.83,111.8,1
7.28,117.4,1
6.9,87.7,1
4.52,114.5,0
7.5,106.2,1
8.52,112.3,1
7.12,128.5,1
5.97,96.3,0
6.49,88.7,0
8.77,86.7,0
7.91,87.8,1
7.64,98.8,1
7.36,105.1,1
6.34,104.2,0
6.8,112.4,1
6.92,100.2,0
7.55,121.8,1
8.51,96,1
8.12,140.8,1
5.58,109.4,0
7.22,87.1,1
7.74,83.9,0
7.62,107.2,1
6.37,96.6,0
9.91,110.7,1
5.72,107.1,1
5.92,98.9,1
7.23,87.3,0
9.12,77.3,1
6.16,93.3,0
6.73,112.8,1
8.08,103.2,0
6.98,81.3,0
6.67,102.6,1
7.57,105.8,1
7.27,86.7,0
8.03,102.3,1
8.29,100.9,0
7.31,82.9,0
7.29,105.4,1
7.21,108.4,1
7.49,116.2,1
7.06,115.8,1
7,79.3,0
8.2,85.9,1
8.52,107.7,1
5.49,107.7,1
7.01,107.7,0
6.31,145,1
6.69,108.6,0
7.4,117,1
7.67,114.3,1
6.89,109.8,1
5.09,95.3,0
6.03,111.4,0
7.9,88.4,1
4.26,96.4,0
8.19,92.7,0
7.52,101.2,1
8.32,134.7,1
6.8,72,0
4.94,110.3,1
7.43,75.8,0
8.27,92.9,1
7.92,116.3,0
6.34,101,1
7.09,83.8,1
6.47,89.3,1
6.18,110.2,1
7.96,89,1
5.8,103.2,0
6.11,100.7,0
5.9,90.2,0
5.51,132.2,1
7.15,109.5,1
8.16,69.6,0
6.82,102.8,1
